epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,21912.2,1.71409,2.24788,1.91872,0.85966,0.2135,0.23258,0.08863,2.0009,1.74365,2.00885,6.84094e-06,6.84094e-06,6.84094e-06
40,22452.9,1.70789,2.22796,1.91371,0.85522,0.21031,0.23363,0.0903,1.98383,1.73775,1.99476,6.69402e-06,6.69402e-06,6.69402e-06
41,22997.6,1.70949,2.25223,1.91991,0.85343,0.2149,0.23454,0.08978,1.9944,1.73621,2.00534,6.54543e-06,6.54543e-06,6.54543e-06
42,23545.6,1.70851,2.23227,1.91331,0.85863,0.21391,0.23643,0.09296,1.96729,1.72261,1.98226,6.39532e-06,6.39532e-06,6.39532e-06
43,24097.2,1.70689,2.23754,1.91002,0.86004,0.21408,0.23785,0.09544,1.94882,1.71273,1.96496,6.24383e-06,6.24383e-06,6.24383e-06
44,24646.3,1.70621,2.21116,1.90367,0.85106,0.21505,0.2381,0.09438,1.9617,1.71554,1.97439,6.09111e-06,6.09111e-06,6.09111e-06
45,25201.5,1.69908,2.22102,1.90505,0.8562,0.21547,0.23884,0.09495,1.95699,1.70732,1.97257,5.93731e-06,5.93731e-06,5.93731e-06
46,25750.1,1.70194,2.21715,1.90868,0.85735,0.21649,0.23937,0.09323,1.97286,1.71095,1.97999,5.78259e-06,5.78259e-06,5.78259e-06
47,26302.8,1.70382,2.21231,1.89886,0.85677,0.21572,0.24134,0.09472,1.96755,1.70608,1.97792,5.6271e-06,5.6271e-06,5.6271e-06
48,26847.7,1.70478,2.22257,1.89939,0.86467,0.21529,0.24275,0.09692,1.94812,1.69144,1.96084,5.47099e-06,5.47099e-06,5.47099e-06
49,27400.2,1.69577,2.20548,1.89397,0.86211,0.21598,0.24299,0.09618,1.95875,1.69522,1.97166,5.31442e-06,5.31442e-06,5.31442e-06
50,27951.8,1.6929,2.18145,1.89048,0.8624,0.21723,0.24398,0.09719,1.95248,1.69015,1.96641,5.15754e-06,5.15754e-06,5.15754e-06
51,28500.2,1.69341,2.20402,1.89543,0.85977,0.21769,0.24564,0.09793,1.94599,1.68324,1.9631,5.0005e-06,5.0005e-06,5.0005e-06
52,29048.3,1.69567,2.19244,1.89259,0.85904,0.21948,0.24562,0.09673,1.96083,1.68703,1.96963,4.84346e-06,4.84346e-06,4.84346e-06
